date,dads,moms
10/10/14,446600,584200
10/11/14,385300,480600
10/12/14,424100,464500
10/13/14,423700,554200
10/14/14,433300,626400
10/15/14,478700,709700
10/16/14,417000,629400
10/17/14,400400,635000
10/18/14,329900,565600
10/19/14,383700,554900
10/20/14,356900,565900
10/21/14,392300,629800
10/22/14,426100,713800
10/23/14,410900,634200
10/24/14,371600,645200
10/25/14,315200,559400
10/26/14,408200,573500
10/27/14,433100,623000
10/28/14,409800,676700
10/29/14,400600,602600
10/30/14,428800,654000
10/31/14,462100,558100
11/1/14,336300,516700
11/2/14,378100,606800
11/3/14,467000,669800
11/4/14,436200,724600
11/5/14,493200,788200
11/6/14,417400,662700
11/7/14,437500,605600
11/8/14,450200,612700
11/9/14,503700,856500
11/10/14,418400,674600
11/11/14,388800,641700
11/12/14,456400,650500
11/13/14,385900,650800
11/14/14,395900,614400
11/15/14,322900,614400
11/16/14,401200,603400
11/17/14,393700,736800
11/18/14,376700,645400
11/19/14,386600,674300
11/20/14,379000,713200
11/21/14,376100,732700
11/22/14,313500,622600
11/23/14,367300,630000
11/24/14,378600,774300
11/25/14,430100,963200
11/26/14,360200,810900
11/27/14,408700,615400
11/28/14,363500,605100
11/29/14,350700,631600
11/30/14,373000,656400
12/1/14,349700,633500
12/2/14,425600,706200
12/3/14,404200,746900
12/4/14,401400,723700
12/5/14,392400,725600
12/6/14,377500,580900
12/7/14,370500,586700
12/8/14,365900,655500
12/9/14,425700,690900
12/10/14,380300,712900
12/11/14,424500,698400
12/12/14,394900,649400
12/13/14,320200,604500
12/14/14,329900,569300
12/15/14,341800,692200
12/16/14,339100,704800
12/17/14,405100,676000
12/18/14,378200,654000
12/19/14,446600,602500
12/20/14,313500,591300
12/21/14,370400,636700
12/22/14,364600,778700
12/23/14,357500,699500
12/24/14,375500,680500
12/25/14,317900,533200
12/26/14,301900,555900
12/27/14,256100,588200
12/28/14,383000,624600
12/29/14,366200,673500
12/30/14,404200,726900
12/31/14,427000,686300
1/1/15,385000,711500
1/2/15,495200,640100
1/3/15,366600,635100
1/4/15,479400,677700
1/5/15,437500,695100
1/6/15,448900,692700
1/7/15,462100,739200
1/8/15,478500,726100
1/9/15,461900,699600
